2015-08-25 14:26:49,686,L133|queue size:0                                                                    
2015-09-11 09:38:33,390,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-09/upload_750e9498e62a49899dec9c8c5b61724d.wmv
2015-09-11 09:38:33,391,L69|check path: /data/www/zhangyecms/public/upload/2015-09-09/upload_750e9498e62a49899dec9c8c5b61724d.wmv
2015-09-11 09:38:33,404,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-09/upload_11174e4ba701f6bb5d819557130e4162.wmv|outfiles exist and duration match ok
2015-09-11 09:38:33,405,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-09/upload_bc9c9c1df2b3eceefe24734220236b85.wmv
2015-09-11 09:38:33,405,L69|check path: /data/www/zhangyecms/public/upload/2015-09-09/upload_bc9c9c1df2b3eceefe24734220236b85.wmv
2015-09-11 09:38:33,492,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-09/upload_750e9498e62a49899dec9c8c5b61724d_352_500k.m3u8
2015-09-11 09:38:33,492,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-09/upload_750e9498e62a49899dec9c8c5b61724d_352_500k.m3u8
2015-09-11 09:38:33,506,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-09/upload_bc9c9c1df2b3eceefe24734220236b85_352_500k.m3u8
2015-09-11 09:38:33,507,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-09/upload_bc9c9c1df2b3eceefe24734220236b85_352_500k.m3u8
2015-09-11 09:38:33,595,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-09/upload_750e9498e62a49899dec9c8c5b61724d.wmv|outfiles exist and duration match ok
2015-09-11 09:38:33,595,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-09/upload_ba7ccf69337db14cccbe97deef89392d.wmv
2015-09-11 09:38:33,595,L69|check path: /data/www/zhangyecms/public/upload/2015-09-09/upload_ba7ccf69337db14cccbe97deef89392d.wmv
2015-09-11 09:38:33,608,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-09/upload_bc9c9c1df2b3eceefe24734220236b85.wmv|outfiles exist and duration match ok
2015-09-11 09:38:33,608,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-10/upload_453af34394ca60020ea3146c5b987f2c.wmv
2015-09-11 09:38:33,608,L69|check path: /data/www/zhangyecms/public/upload/2015-09-10/upload_453af34394ca60020ea3146c5b987f2c.wmv
2015-09-11 09:38:33,696,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-09/upload_ba7ccf69337db14cccbe97deef89392d_352_500k.m3u8
2015-09-11 09:38:33,697,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-09/upload_ba7ccf69337db14cccbe97deef89392d_352_500k.m3u8
2015-09-11 09:38:33,709,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-10/upload_453af34394ca60020ea3146c5b987f2c_352_500k.m3u8
2015-09-11 09:38:33,710,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-10/upload_453af34394ca60020ea3146c5b987f2c_352_500k.m3u8
2015-09-11 09:38:33,798,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-09/upload_ba7ccf69337db14cccbe97deef89392d.wmv|outfiles exist and duration match ok
2015-09-11 09:38:33,798,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-10/upload_f1d2c98610853cb1beb314ff921a9ce6.wmv
2015-09-11 09:38:33,799,L69|check path: /data/www/zhangyecms/public/upload/2015-09-10/upload_f1d2c98610853cb1beb314ff921a9ce6.wmv
2015-09-11 09:38:33,812,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-10/upload_453af34394ca60020ea3146c5b987f2c.wmv|outfiles exist and duration match ok
2015-09-11 09:38:33,813,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-10/upload_5f9d0d0fb5faa963914baa7572bdf751.wmv
2015-09-11 09:38:33,813,L69|check path: /data/www/zhangyecms/public/upload/2015-09-10/upload_5f9d0d0fb5faa963914baa7572bdf751.wmv
2015-09-11 09:38:33,901,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-10/upload_f1d2c98610853cb1beb314ff921a9ce6_352_500k.m3u8
2015-09-11 09:38:33,901,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-10/upload_f1d2c98610853cb1beb314ff921a9ce6_352_500k.m3u8
2015-09-11 09:38:33,914,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-10/upload_5f9d0d0fb5faa963914baa7572bdf751_352_500k.m3u8
2015-09-11 09:38:33,915,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-10/upload_5f9d0d0fb5faa963914baa7572bdf751_352_500k.m3u8
2015-09-11 09:38:34,003,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-10/upload_f1d2c98610853cb1beb314ff921a9ce6.wmv|outfiles exist and duration match ok
2015-09-11 09:38:34,004,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-08/upload_947ed93591b791c1c25d531be35a6e7e.mp4
2015-09-11 09:38:34,004,L69|check path: /data/www/zhangyecms/public/upload/2015-09-08/upload_947ed93591b791c1c25d531be35a6e7e.mp4
2015-09-11 09:38:34,017,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-10/upload_5f9d0d0fb5faa963914baa7572bdf751.wmv|outfiles exist and duration match ok
2015-09-11 09:38:34,017,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_3b59744552440331a2334eee85cef933.wmv
2015-09-11 09:38:34,017,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_3b59744552440331a2334eee85cef933.wmv
2015-09-11 09:38:34,106,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-08/upload_947ed93591b791c1c25d531be35a6e7e_352_500k.m3u8
2015-09-11 09:38:34,107,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-08/upload_947ed93591b791c1c25d531be35a6e7e_352_500k.m3u8
2015-09-11 09:38:34,119,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_3b59744552440331a2334eee85cef933_352_500k.m3u8
2015-09-11 09:38:34,119,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_3b59744552440331a2334eee85cef933_352_500k.m3u8
2015-09-11 09:38:34,209,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-08/upload_947ed93591b791c1c25d531be35a6e7e.mp4|outfiles exist and duration match ok
2015-09-11 09:38:34,209,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_6d286971d68d0bcb2e8b153e5e35eaa6.wmv
2015-09-11 09:38:34,210,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_6d286971d68d0bcb2e8b153e5e35eaa6.wmv
2015-09-11 09:38:34,221,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_3b59744552440331a2334eee85cef933.wmv|outfiles exist and duration match ok
2015-09-11 09:38:34,222,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0.wmv
2015-09-11 09:38:34,222,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0.wmv
2015-09-11 09:38:34,311,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_6d286971d68d0bcb2e8b153e5e35eaa6_352_500k.m3u8
2015-09-11 09:38:34,311,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_6d286971d68d0bcb2e8b153e5e35eaa6_352_500k.m3u8
2015-09-11 09:38:34,323,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0_352_500k.m3u8
2015-09-11 09:38:34,324,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0_352_500k.m3u8
2015-09-11 09:38:34,412,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_6d286971d68d0bcb2e8b153e5e35eaa6.wmv|outfiles exist and duration match ok
2015-09-11 09:38:34,413,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_6ffafa47663fa5feaa21f77e6f22dd71.wmv
2015-09-11 09:38:34,413,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_6ffafa47663fa5feaa21f77e6f22dd71.wmv
2015-09-11 09:38:34,425,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_182155b491aaf84da186df3fe4c8c7c0.wmv|outfiles exist and duration match ok
2015-09-11 09:38:34,425,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30.wmv
2015-09-11 09:38:34,425,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30.wmv
2015-09-11 09:38:34,514,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_6ffafa47663fa5feaa21f77e6f22dd71_352_500k.m3u8
2015-09-11 09:38:34,515,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_6ffafa47663fa5feaa21f77e6f22dd71_352_500k.m3u8
2015-09-11 09:38:34,527,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30_352_500k.m3u8
2015-09-11 09:38:34,527,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30_352_500k.m3u8
2015-09-11 09:38:34,617,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_6ffafa47663fa5feaa21f77e6f22dd71.wmv|outfiles exist and duration match ok
2015-09-11 09:38:34,617,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_5444f271cdec7321523e4d2ed95d44e7.wmv
2015-09-11 09:38:34,617,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_5444f271cdec7321523e4d2ed95d44e7.wmv
2015-09-11 09:38:34,629,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_c49031e4bcc5979d0ff9be6021e91c30.wmv|outfiles exist and duration match ok
2015-09-11 09:38:34,629,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_e6331305bb4f214b87b1fe2a126fc251.wmv
2015-09-11 09:38:34,630,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_e6331305bb4f214b87b1fe2a126fc251.wmv
2015-09-11 09:38:34,720,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_5444f271cdec7321523e4d2ed95d44e7_352_500k.m3u8
2015-09-11 09:38:34,720,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_5444f271cdec7321523e4d2ed95d44e7_352_500k.m3u8
2015-09-11 09:38:34,731,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_e6331305bb4f214b87b1fe2a126fc251_352_500k.m3u8
2015-09-11 09:38:34,732,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_e6331305bb4f214b87b1fe2a126fc251_352_500k.m3u8
2015-09-11 09:38:34,821,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_5444f271cdec7321523e4d2ed95d44e7.wmv|outfiles exist and duration match ok
2015-09-11 09:38:34,822,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_5f057c43c39bedcdcf87259d69701abf.wmv
2015-09-11 09:38:34,822,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_5f057c43c39bedcdcf87259d69701abf.wmv
2015-09-11 09:38:34,833,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_e6331305bb4f214b87b1fe2a126fc251.wmv|outfiles exist and duration match ok
2015-09-11 09:38:34,834,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5.wmv
2015-09-11 09:38:34,834,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5.wmv
2015-09-11 09:38:34,923,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_5f057c43c39bedcdcf87259d69701abf_352_500k.m3u8
2015-09-11 09:38:34,924,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_5f057c43c39bedcdcf87259d69701abf_352_500k.m3u8
2015-09-11 09:38:34,936,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5_352_500k.m3u8
2015-09-11 09:38:34,937,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5_352_500k.m3u8
2015-09-11 09:38:35,025,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_5f057c43c39bedcdcf87259d69701abf.wmv|outfiles exist and duration match ok
2015-09-11 09:38:35,025,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_14b40f0f16bff3de59f254a664dc6baa.wmv
2015-09-11 09:38:35,025,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_14b40f0f16bff3de59f254a664dc6baa.wmv
2015-09-11 09:38:35,039,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_5a7f86ecdb485a51e0377de2b4e207a5.wmv|outfiles exist and duration match ok
2015-09-11 09:38:35,039,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_36a82b5ad3e82d4c4aabae4346035b56.wmv
2015-09-11 09:38:35,039,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_36a82b5ad3e82d4c4aabae4346035b56.wmv
2015-09-11 09:38:35,127,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_14b40f0f16bff3de59f254a664dc6baa_352_500k.m3u8
2015-09-11 09:38:35,128,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_14b40f0f16bff3de59f254a664dc6baa_352_500k.m3u8
2015-09-11 09:38:35,140,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_36a82b5ad3e82d4c4aabae4346035b56_352_500k.m3u8
2015-09-11 09:38:35,141,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_36a82b5ad3e82d4c4aabae4346035b56_352_500k.m3u8
2015-09-11 09:38:35,230,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_14b40f0f16bff3de59f254a664dc6baa.wmv|outfiles exist and duration match ok
2015-09-11 09:38:35,231,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv
2015-09-11 09:38:35,231,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv
2015-09-11 09:38:35,242,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_36a82b5ad3e82d4c4aabae4346035b56.wmv|outfiles exist and duration match ok
2015-09-11 09:38:35,243,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1.wmv
2015-09-11 09:38:35,243,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1.wmv
2015-09-11 09:38:35,332,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e_352_500k.m3u8
2015-09-11 09:38:35,332,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e_352_500k.m3u8
2015-09-11 09:38:35,344,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1_352_500k.m3u8
2015-09-11 09:38:35,344,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1_352_500k.m3u8
2015-09-11 09:38:35,433,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_e87948936eb0ab76fa8546cabed1d21e.wmv|outfiles exist and duration match ok
2015-09-11 09:38:35,434,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_cee3a1a1d40e382df4a422b3cc578948.wmv
2015-09-11 09:38:35,434,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_cee3a1a1d40e382df4a422b3cc578948.wmv
2015-09-11 09:38:35,446,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_12ab1e3bed1ca740e10cd8c64bd34db1.wmv|outfiles exist and duration match ok
2015-09-11 09:38:35,446,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_1401349c90a606587f26444084e9f261.wmv
2015-09-11 09:38:35,446,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_1401349c90a606587f26444084e9f261.wmv
2015-09-11 09:38:35,535,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_cee3a1a1d40e382df4a422b3cc578948_352_500k.m3u8
2015-09-11 09:38:35,536,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_cee3a1a1d40e382df4a422b3cc578948_352_500k.m3u8
2015-09-11 09:38:35,548,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_1401349c90a606587f26444084e9f261_352_500k.m3u8
2015-09-11 09:38:35,548,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_1401349c90a606587f26444084e9f261_352_500k.m3u8
2015-09-11 09:38:35,637,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_cee3a1a1d40e382df4a422b3cc578948.wmv|outfiles exist and duration match ok
2015-09-11 09:38:35,638,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_bab1d43214fe716eb083a2b6e3e265a6.wmv
2015-09-11 09:38:35,638,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_bab1d43214fe716eb083a2b6e3e265a6.wmv
2015-09-11 09:38:35,651,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_1401349c90a606587f26444084e9f261.wmv|outfiles exist and duration match ok
2015-09-11 09:38:35,651,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_b678797cd175a685e7037b92272f5161.wmv
2015-09-11 09:38:35,651,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_b678797cd175a685e7037b92272f5161.wmv
2015-09-11 09:38:35,740,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_bab1d43214fe716eb083a2b6e3e265a6_352_500k.m3u8
2015-09-11 09:38:35,741,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_bab1d43214fe716eb083a2b6e3e265a6_352_500k.m3u8
2015-09-11 09:38:35,752,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_b678797cd175a685e7037b92272f5161_352_500k.m3u8
2015-09-11 09:38:35,753,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_b678797cd175a685e7037b92272f5161_352_500k.m3u8
2015-09-11 09:38:35,843,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_bab1d43214fe716eb083a2b6e3e265a6.wmv|outfiles exist and duration match ok
2015-09-11 09:38:35,843,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a.wmv
2015-09-11 09:38:35,843,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a.wmv
2015-09-11 09:38:35,856,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_b678797cd175a685e7037b92272f5161.wmv|outfiles exist and duration match ok
2015-09-11 09:38:35,857,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-07/upload_542c232da9c869971eac77e700768712.wmv
2015-09-11 09:38:35,857,L69|check path: /data/www/zhangyecms/public/upload/2015-09-07/upload_542c232da9c869971eac77e700768712.wmv
2015-09-11 09:38:35,946,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a_352_500k.m3u8
2015-09-11 09:38:35,946,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a_352_500k.m3u8
2015-09-11 09:38:35,958,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-07/upload_542c232da9c869971eac77e700768712_352_500k.m3u8
2015-09-11 09:38:35,959,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-07/upload_542c232da9c869971eac77e700768712_352_500k.m3u8
2015-09-11 09:38:36,048,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_4f926a53bc5a0a1bbd914c8c0a587b3a.wmv|outfiles exist and duration match ok
2015-09-11 09:38:36,049,L403|thread_0 begin to process input:/data/www/zhangyecms/public/upload/2015-09-11/upload_18d7040129920a689b69ac48dadc319e.wmv
2015-09-11 09:38:36,049,L69|check path: /data/www/zhangyecms/public/upload/2015-09-11/upload_18d7040129920a689b69ac48dadc319e.wmv
2015-09-11 09:38:36,061,L450|[TRANSCODE_SKIPED] |/data/www/zhangyecms/public/upload/2015-09-07/upload_542c232da9c869971eac77e700768712.wmv|outfiles exist and duration match ok
2015-09-11 09:38:36,061,L403|thread_1 begin to process input:/data/www/zhangyecms/public/upload/2015-09-11/upload_4bce305b5249ce56304f5a067040e299.mpg
2015-09-11 09:38:36,061,L69|check path: /data/www/zhangyecms/public/upload/2015-09-11/upload_4bce305b5249ce56304f5a067040e299.mpg
2015-09-11 09:38:36,151,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-11/upload_18d7040129920a689b69ac48dadc319e_352_500k.m3u8
2015-09-11 09:38:36,152,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-11/upload_18d7040129920a689b69ac48dadc319e_352_500k.m3u8
2015-09-11 09:38:36,164,L428|add outfile with name_append:/data/www/zhangyecms/public/outfiles//2015-09-11/upload_4bce305b5249ce56304f5a067040e299_352_500k.m3u8
2015-09-11 09:38:36,165,L69|check path: /data/www/zhangyecms/public/outfiles//2015-09-11/upload_4bce305b5249ce56304f5a067040e299_352_500k.m3u8
2015-09-11 09:38:36,254,L170|no dar info in input file, force set aspect to width:height                     
2015-09-11 09:38:36,264,L347|fferr_0 ffmpeg version 2.2 Copyright (c) 2000-2014 the FFmpeg developers        
2015-09-11 09:38:36,264,L347|fferr_0   built on Aug  1 2014 15:47:15 with gcc 4.4.7 (GCC) 20120313 (Red Hat 4.4.7-4)
2015-09-11 09:38:36,265,L347|fferr_0   configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-shared --disable-static --enable-runtime-cpudetect --prefix=/root/transcode_build/build/../3rdparty --extra-cflags='-I/root/transcode_build/build/../3rdparty/include -fPIC -D_LARGEFILE64_SOURCE -D_FILE_OFFSET_BITS=64' --extra-ldflags=-L/root/transcode_build/build/../3rdparty/lib --enable-libx264 --enable-libx265 --enable-libfaac --enable-decoder=png --enable-encoder=png --enable-libfreetype --disable-outdevs --disable-ffplay --disable-ffprobe --disable-ffserver --disable-doc --disable-htmlpages --disable-manpages --disable-podpages --disable-txtpages --disable-stripping
2015-09-11 09:38:36,265,L347|fferr_0   libavutil      52. 66.100 / 52. 66.100                                
2015-09-11 09:38:36,266,L170|no dar info in input file, force set aspect to width:height                     
2015-09-11 09:38:36,268,L347|fferr_0   libavcodec     55. 52.102 / 55. 52.102                                
2015-09-11 09:38:36,270,L347|fferr_0   libavformat    55. 33.100 / 55. 33.100                                
2015-09-11 09:38:36,270,L347|fferr_0   libavdevice    55. 10.100 / 55. 10.100                                
2015-09-11 09:38:36,271,L347|fferr_0   libavfilter     4.  2.100 /  4.  2.100                                
2015-09-11 09:38:36,271,L347|fferr_0   libswscale      2.  5.102 /  2.  5.102                                
2015-09-11 09:38:36,271,L347|fferr_0   libswresample   0. 18.100 /  0. 18.100                                
2015-09-11 09:38:36,271,L347|fferr_0   libpostproc    52.  3.100 / 52.  3.100                                
2015-09-11 09:38:36,274,L347|fferr_0 [wmv3 @ 0x1818680] Extra data: 8 bits left, value: 0                    
2015-09-11 09:38:36,277,L347|fferr_0 Guessed Channel Layout for  Input Stream #0.1 : stereo                  
2015-09-11 09:38:36,277,L347|fferr_1 ffmpeg version 2.2 Copyright (c) 2000-2014 the FFmpeg developers        
2015-09-11 09:38:36,277,L347|fferr_0 Input #0, asf, from '/data/www/zhangyecms/public/upload/2015-09-11/upload_18d7040129920a689b69ac48dadc319e.wmv':
2015-09-11 09:38:36,278,L347|fferr_1   built on Aug  1 2014 15:47:15 with gcc 4.4.7 (GCC) 20120313 (Red Hat 4.4.7-4)
2015-09-11 09:38:36,278,L347|fferr_0   Metadata:                                                             
2015-09-11 09:38:36,279,L347|fferr_0     WMFSDKVersion   : 11.0.5721.5275                                    
2015-09-11 09:38:36,279,L347|fferr_0     WMFSDKNeeded    : 0.0.0.0000                                        
2015-09-11 09:38:36,279,L347|fferr_0     IsVBR           : 0                                                 
2015-09-11 09:38:36,280,L347|fferr_1   configuration: --enable-gpl --enable-version3 --enable-nonfree --enable-shared --disable-static --enable-runtime-cpudetect --prefix=/root/transcode_build/build/../3rdparty --extra-cflags='-I/root/transcode_build/build/../3rdparty/include -fPIC -D_LARGEFILE64_SOURCE -D_FILE_OFFSET_BITS=64' --extra-ldflags=-L/root/transcode_build/build/../3rdparty/lib --enable-libx264 --enable-libx265 --enable-libfaac --enable-decoder=png --enable-encoder=png --enable-libfreetype --disable-outdevs --disable-ffplay --disable-ffprobe --disable-ffserver --disable-doc --disable-htmlpages --disable-manpages --disable-podpages --disable-txtpages --disable-stripping
2015-09-11 09:38:36,280,L347|fferr_0     DeviceConformanceTemplate: L2                                       
2015-09-11 09:38:36,281,L347|fferr_1   libavutil      52. 66.100 / 52. 66.100                                
2015-09-11 09:38:36,281,L347|fferr_0   Duration: 00:14:38.94, start: 0.000000, bitrate: 650 kb/s             
2015-09-11 09:38:36,282,L347|fferr_1   libavcodec     55. 52.102 / 55. 52.102                                
2015-09-11 09:38:36,282,L347|fferr_0     Stream #0:0(chi): Video: wmv3 (Main) (WMV3 / 0x33564D57), yuv420p, 720x576, 512 kb/s, SAR 12:11 DAR 15:11, 25 tbr, 1k tbn, 1k tbc
2015-09-11 09:38:36,283,L347|fferr_1   libavformat    55. 33.100 / 55. 33.100                                
2015-09-11 09:38:36,283,L347|fferr_0     Stream #0:1(chi): Audio: wmav2 (a[1][0][0] / 0x0161), 48000 Hz, stereo, fltp, 128 kb/s
